Mun,Ward,Tap/piped water (within premises),Tap/piped water (outside premises),Tubewell / handpump,Covered well/kuwa,Uncovered well/kuwa,Spout water,River /stream,Jar / bottle,Others
Sani Bheri,1,41,377,0,0,16,21,0,0,0
Sani Bheri,2,110,291,0,0,1,8,0,0,1
Sani Bheri,3,440,330,0,0,1,52,1,0,0
Sani Bheri,4,153,272,0,0,1,133,11,0,1
Sani Bheri,5,349,3,0,0,1,99,0,0,0
Sani Bheri,6,124,137,0,0,0,5,1,0,0
Sani Bheri,7,94,302,0,0,1,0,0,0,0
Sani Bheri,8,181,190,0,1,1,1,0,0,0
Sani Bheri,9,272,262,0,0,2,25,0,0,0
Sani Bheri,10,120,225,0,0,48,0,0,0,0
Sani Bheri,11,273,235,0,1,5,71,2,0,0
Chaurjahari,1,693,145,0,0,27,12,0,1,3
Chaurjahari,2,279,47,0,0,0,64,0,0,1
Chaurjahari,3,420,42,0,0,0,0,0,0,1
Chaurjahari,4,238,235,0,0,18,3,0,0,0
Chaurjahari,5,79,263,0,0,35,7,0,0,1
Chaurjahari,6,272,36,0,0,2,94,5,0,0
Chaurjahari,7,311,45,0,1,1,1,0,0,0
Chaurjahari,8,251,186,0,0,0,14,0,0,0
Chaurjahari,9,193,6,0,0,0,119,0,0,0
Chaurjahari,10,139,217,0,1,0,79,0,1,0
Chaurjahari,11,101,374,0,0,26,15,0,0,0
Chaurjahari,12,416,28,0,0,1,9,0,0,0
Chaurjahari,13,233,278,0,0,0,108,1,0,0
Chaurjahari,14,329,267,0,0,0,63,0,0,0
Kumakhmalika,1,241,297,0,3,81,111,2,0,7
Kumakhmalika,2,143,272,0,0,0,33,0,0,1
Kumakhmalika,3,70,401,0,7,35,94,1,0,0
Kumakhmalika,4,231,337,0,2,17,6,0,0,0
Kumakhmalika,6,115,604,0,6,6,67,1,0,0
Kumakhmalika,7,246,439,0,0,1,1,3,0,0
Kumakhmalika,5,268,63,0,105,10,57,2,0,1
Bheri,1,556,207,0,20,37,21,11,0,0
Bheri,2,666,396,0,0,37,19,25,0,0
Bheri,3,575,167,0,1,20,17,0,1,0
Bheri,4,705,153,0,0,6,16,0,0,1
Bheri,5,307,200,0,1,4,38,0,0,0
Bheri,6,218,369,0,0,0,0,2,0,0
Bheri,7,735,41,0,0,1,16,0,0,0
Bheri,8,417,54,0,0,13,17,11,0,0
Bheri,9,324,90,0,0,0,29,0,0,0
Bheri,10,271,182,0,4,14,0,42,0,8
Bheri,11,274,393,0,1,5,23,3,19,1
Bheri,12,150,251,0,12,0,153,34,0,1
Bheri,13,13,476,0,0,0,0,0,0,0
